predictor,beta,std_err,t_stat,p_value,ci_lo,ci_hi
const,92.56388111805823,1.7813826884946165,51.961816916656296,3.5405978616119513e-26,88.88728794956513,96.24047428655133
z_log_don,-7.411737222949446,2.013135730401522,-3.6816877824085745,0.001172755666522963,-11.566645161287123,-3.2568292846117695
z_dist,-0.42813147836724585,2.211416968148539,-0.19360052153605825,0.8481178864684149,-4.992271778088814,4.136008821354323
z_poverty,-5.015426843704718,3.1803931221624717,-1.5769833008236844,0.12789061968148735,-11.579435633947494,1.5485819465380581
z_gdp,-7.849998324685216,3.3875801620572235,-2.317287842398403,0.029336710819540795,-14.841620148554737,-0.8583765008156945
