dist_km,oop_base_usd
867.8562,1767.4433462857141
85.6674,480.18406400000003
85.6674,480.18406400000003
85.6674,480.18406400000003
268.8726,781.6874788571428
402.9609,1002.3585097142857
85.6674,480.18406400000003
383.0559,969.6005668571429
844.5061999999999,1729.0159177142857
1915.7766,3492.020918857143
85.6674,480.18406400000003
1915.7766,3492.020918857143
535.7225,1220.8461714285713
85.6674,480.18406400000003
535.7225,1220.8461714285713
383.0559,969.6005668571429
236.8703,729.0208365714285
3205.3912,5614.358089142857
85.6674,480.18406400000003
268.8726,781.6874788571428
798.3826,1653.1096502857145
699.3317,1490.100169142857
268.8726,781.6874788571428
85.6674,480.18406400000003
85.6674,480.18406400000003
535.7225,1220.8461714285713
1383.0976,2615.383478857143
927.1378,1865.0039222857145
535.7225,1220.8461714285713
268.8726,781.6874788571428
223.4289,706.9001325714286
218.8117,699.3015405714285
2672.7121,4737.72048457143
288.0263,813.2089965714287
535.7225,1220.8461714285713
85.6674,480.18406400000003
535.7225,1220.8461714285713
262.6545,771.4542628571429
898.8452,1818.4423862857143
268.8726,781.6874788571428
535.7225,1220.8461714285713
262.6545,771.4542628571429
759.7660999999999,1589.5579245714287
1383.0976,2615.383478857143
698.9345,1489.4464914285713
85.6674,480.18406400000003
535.7225,1220.8461714285713
699.3317,1490.100169142857
1163.6726,2254.272621714286
535.7225,1220.8461714285713
1921.8159,3501.9598811428573
535.7225,1220.8461714285713
465.0186,1104.4877531428572
698.9345,1489.4464914285713
236.8703,729.0208365714285
2672.7121,4737.72048457143
223.4289,706.9001325714286
898.8452,1818.4423862857143
889.0769,1802.3665554285715
1397.3266999999998,2638.800512
279.9119,799.8550125714286
279.9119,799.8550125714286
85.6674,480.18406400000003
223.4289,706.9001325714286
898.8452,1818.4423862857143
383.0559,969.6005668571429
535.7225,1220.8461714285713
1474.1606000000002,2765.247158857143
524.3814,1202.181961142857
472.4903,1116.7840365714285
206.1136,678.4040960000001
465.0186,1104.4877531428572
898.8452,1818.4423862857143
1377.9321,2606.8825417142857
288.0263,813.2089965714287
236.8703,729.0208365714285
92.1688,490.8835108571428
760.5715,1590.883382857143
85.6674,480.18406400000003
85.6674,480.18406400000003
288.0263,813.2089965714287
268.8726,781.6874788571428
465.0186,1104.4877531428572
1921.8159,3501.9598811428573
85.6674,480.18406400000003
223.4289,706.9001325714286
236.8703,729.0208365714285
535.7225,1220.8461714285713
535.7225,1220.8461714285713
85.6674,480.18406400000003
277.0325,795.1163428571429
699.3317,1490.100169142857
608.0151,1339.8191359999998
278.1341,796.9292617142858
278.1341,796.9292617142858
347.35209999999995,910.842313142857
288.0263,813.2089965714287
535.7225,1220.8461714285713
465.0186,1104.4877531428572
383.0559,969.6005668571429
85.6674,480.18406400000003
85.6674,480.18406400000003
92.1688,490.8835108571428
85.6674,480.18406400000003
85.6674,480.18406400000003
343.4181,904.368073142857
277.2288,795.4393965714285
85.6674,480.18406400000003
289.8245,816.1683200000001
1431.4226,2694.9126217142857
3622.8709,6301.410395428572
2672.7121,4737.72048457143
268.8726,781.6874788571428
1397.3266999999998,2638.800512
459.2263,1094.9552822857142
2672.7121,4737.72048457143
1921.8159,3501.9598811428573
85.6674,480.18406400000003
85.6674,480.18406400000003
3335.4577000000004,5828.410386285715
1921.8159,3501.9598811428573
85.6674,480.18406400000003
208.1225,681.7101714285715
1397.3266999999998,2638.800512
892.2579000000001,1807.6015725714287
892.2579000000001,1807.6015725714287
1921.8159,3501.9598811428573
433.3288,1052.3353965714286
524.3814,1202.181961142857
332.4887,886.3814034285714
165.5086,611.5798674285714
535.7225,1220.8461714285713
699.3317,1490.100169142857
85.6674,480.18406400000003
262.6545,771.4542628571429
621.3269,1361.7265554285714
127.1244,548.4104411428572
459.2263,1094.9552822857142
2018.0444,3660.3244982857145
1397.3266999999998,2638.800512
433.3288,1052.3353965714286
206.4414,678.9435611428571
210.4632,685.5622948571429
401.9156,1000.6382445714287
365.6821,941.0082560000002
2837.0544,5008.180955428572
90.1343,487.5353051428571
85.6674,480.18406400000003
347.35209999999995,910.842313142857
85.6674,480.18406400000003
85.6674,480.18406400000003
268.8726,781.6874788571428
268.8726,781.6874788571428
165.5086,611.5798674285714
365.6821,941.0082560000002
719.0845,1522.6076342857143
1163.6726,2254.272621714286
1915.7766,3492.020918857143
3513.3732,6121.208466285714
383.0559,969.6005668571429
262.6545,771.4542628571429
967.4651,1931.371136
948.5444,1900.233069714286
85.6674,480.18406400000003
210.4632,685.5622948571429
268.8726,781.6874788571428
465.0186,1104.4877531428572
685.6577,1467.5966720000001
288.0263,813.2089965714287
2817.193,4975.494765714287
332.4887,886.3814034285714
85.6674,480.18406400000003
927.1378,1865.0039222857145
268.8726,781.6874788571428
262.6545,771.4542628571429
433.3288,1052.3353965714286
465.6615,1105.545782857143
1920.0745,3499.094034285714
127.1244,548.4104411428572
279.9119,799.8550125714286
85.6674,480.18406400000003
85.6674,480.18406400000003
3868.1368,6705.047990857143
383.6366,970.5562331428573
85.6674,480.18406400000003
85.6674,480.18406400000003
475.9448,1122.4691565714286
85.6674,480.18406400000003
85.6674,480.18406400000003
85.6674,480.18406400000003
186.7705,646.5708799999999
85.6674,480.18406400000003
85.6674,480.18406400000003
873.9490999999999,1777.4705188571427
85.6674,480.18406400000003
822.9095,1693.4739200000001
1431.4226,2694.9126217142857
948.5444,1900.233069714286
699.3317,1490.100169142857
401.9156,1000.6382445714287
85.6674,480.18406400000003
85.6674,480.18406400000003
433.3288,1052.3353965714286
85.6674,480.18406400000003
459.2263,1094.9552822857142
210.4632,685.5622948571429
365.6821,941.0082560000002
401.9156,1000.6382445714287
365.6821,941.0082560000002
822.9095,1693.4739200000001
262.6545,771.4542628571429
85.6674,480.18406400000003
268.8726,781.6874788571428
927.1378,1865.0039222857145
365.6821,941.0082560000002
